['relatablepoetryandquotes', 'http://relatablepoetryandquotes.tumblr.com', 'twitter.com/relatepoetry', '7']
['natigail', 'http://natigail.tumblr.com', 'twitter.com/SecretNRB', '1']
['nae-design', 'http://nae-design.tumblr.com', 'twitter.com/NaeDesign', '5']
['pela-schmidt', 'http://pela-schmidt.tumblr.com', 'twitter.com/Pela_Schmidt', '6']
['milascabellos', 'http://milascabellos.tumblr.com', 'twitter.com/stylescabello97', '8']
['sinnamonscouture', 'http://sinnamonscouture.tumblr.com', 'twitter.com/sinnamoncouture', '8']
['mostlycatsmostly', 'http://mostlycatsmostly.tumblr.com', 'twitter.com/mostlycatsmostl', '15']
['bobbycaputo', 'http://bobbycaputo.tumblr.com', 'twitter.com/bobbycaputo', '11']
['raythrill', 'http://raythrill.tumblr.com', 'twitter.com/Raythrill', '8']
['toomanyfeelsexogdi', 'http://toomanyfeelsexogdi.tumblr.com', 'twitter.com/beckybusss', '-1']
['vaultfox', 'http://vaultfox.tumblr.com', 'twitter.com/vaultfoxcosplay', '8']
['tinymintywolf', 'http://tinymintywolf.tumblr.com', 'twitter.com/tinymintywolf', '13']
['brittalundin', 'http://brittalundin.tumblr.com', 'twitter.com/brittashipsit', '6']
['fyjjong', 'http://fyjjong.tumblr.com', 'twitter.com/realjonghyun90', '4']
['jeemmasimmons', 'http://jeemmasimmons.tumblr.com', 'twitter.com/jemmasimmmons', '8']
['summer-arts', 'http://summer-arts.tumblr.com', 'twitter.com/summerdraws', '6']
['todayifeltproud', 'http://todayifeltproud.tumblr.com', 'twitter.com/todayifeltproud', '15']
['dailycockles', 'http://dailycockles.tumblr.com', 'twitter.com/JensenAckles', '5']
['theasexualityblog', 'http://theasexualityblog.tumblr.com', 'twitter.com/AsexualityBlog', '9']
['bellarkefanfiction', 'http://bellarkefanfiction.tumblr.com', 'twitter.com/bellarkefiction', '9']
['kaisooficrec', 'http://kaisooficrec.tumblr.com', 'twitter.com/kaisooficrec_', '12']
['hellyeahomeland', 'http://hellyeahomeland.tumblr.com', 'twitter.com/hyhomeland', '8']
['marvelgifs', 'http://marvelgifs.tumblr.com', 'twitter.com/marvel', '6']
['lamenart', 'http://lamenart.tumblr.com', 'twitter.com/lamenart', '8']
['aizawashoutah', 'http://aizawashoutah.tumblr.com', 'twitter.com/aizawashoutah', '13']
['marinafans', 'http://marinafans.tumblr.com', 'twitter.com/marinadiamandis', '6']
['sacheland', 'http://sacheland.tumblr.com', 'twitter.com/sachewhat', '5']
['dailyniall', 'http://dailyniall.tumblr.com', 'twitter.com/NiallOfficial', '4']
['mindblowingfactz', 'http://mindblowingfactz.tumblr.com', 'twitter.com/blowingfact', '11']
['oshietee', 'http://oshietee.tumblr.com', 'twitter.com/oshietee', '8']
['nadiasyahda', 'http://nadiasyahda.tumblr.com', 'twitter.com/nadiasyahda13', '11']
['popculty', 'http://popculty.tumblr.com', 'twitter.com/popculty', '8']
['photohab', 'http://photohab.tumblr.com', 'twitter.com/photohab', '8']
['mimeitv', 'http://mimeitv.tumblr.com', 'twitter.com/mimei', '5']
