15 85 85 3
16-TrainLoss = 0.151, TrainAccr= 0.992, ValidLoss = 1.675, ValidAccr= 0.393
17-TrainLoss = 0.120, TrainAccr= 0.995, ValidLoss = 1.701, ValidAccr= 0.391
18-TrainLoss = 0.099, TrainAccr= 0.996, ValidLoss = 1.666, ValidAccr= 0.412
19-TrainLoss = 0.081, TrainAccr= 0.998, ValidLoss = 1.668, ValidAccr= 0.414
accr is 1.000 accr per post is 0.410
0-TrainLoss = 2.795, TrainAccr= 0.085, ValidLoss = 2.260, ValidAccr= 0.178
1-TrainLoss = 2.544, TrainAccr= 0.073, ValidLoss = 2.233, ValidAccr= 0.098
2-TrainLoss = 2.454, TrainAccr= 0.083, ValidLoss = 2.212, ValidAccr= 0.103
3-TrainLoss = 2.352, TrainAccr= 0.124, ValidLoss = 2.194, ValidAccr= 0.184
4-TrainLoss = 2.228, TrainAccr= 0.200, ValidLoss = 2.175, ValidAccr= 0.201
5-TrainLoss = 2.070, TrainAccr= 0.315, ValidLoss = 2.164, ValidAccr= 0.218
6-TrainLoss = 1.879, TrainAccr= 0.441, ValidLoss = 2.149, ValidAccr= 0.216
7-TrainLoss = 1.645, TrainAccr= 0.575, ValidLoss = 2.128, ValidAccr= 0.227
8-TrainLoss = 1.393, TrainAccr= 0.696, ValidLoss = 2.106, ValidAccr= 0.238
9-TrainLoss = 1.143, TrainAccr= 0.797, ValidLoss = 2.076, ValidAccr= 0.267
10-TrainLoss = 0.907, TrainAccr= 0.868, ValidLoss = 2.052, ValidAccr= 0.282
11-TrainLoss = 0.712, TrainAccr= 0.910, ValidLoss = 2.043, ValidAccr= 0.293
12-TrainLoss = 0.554, TrainAccr= 0.935, ValidLoss = 2.029, ValidAccr= 0.302
13-TrainLoss = 0.430, TrainAccr= 0.958, ValidLoss = 2.045, ValidAccr= 0.299
14-TrainLoss = 0.329, TrainAccr= 0.974, ValidLoss = 2.055, ValidAccr= 0.301
15-TrainLoss = 0.259, TrainAccr= 0.984, ValidLoss = 2.061, ValidAccr= 0.308
16-TrainLoss = 0.204, TrainAccr= 0.988, ValidLoss = 2.065, ValidAccr= 0.317
17-TrainLoss = 0.164, TrainAccr= 0.992, ValidLoss = 2.077, ValidAccr= 0.322
18-TrainLoss = 0.136, TrainAccr= 0.994, ValidLoss = 2.101, ValidAccr= 0.325
19-TrainLoss = 0.111, TrainAccr= 0.997, ValidLoss = 2.132, ValidAccr= 0.327
accr is 0.500 accr per post is 0.334
0-TrainLoss = 2.631, TrainAccr= 0.092, ValidLoss = 2.554, ValidAccr= 0.057
1-TrainLoss = 2.424, TrainAccr= 0.093, ValidLoss = 2.430, ValidAccr= 0.091
2-TrainLoss = 2.308, TrainAccr= 0.156, ValidLoss = 2.356, ValidAccr= 0.115
3-TrainLoss = 2.152, TrainAccr= 0.315, ValidLoss = 2.277, ValidAccr= 0.181
4-TrainLoss = 1.955, TrainAccr= 0.480, ValidLoss = 2.195, ValidAccr= 0.254
5-TrainLoss = 1.695, TrainAccr= 0.640, ValidLoss = 2.098, ValidAccr= 0.289
6-TrainLoss = 1.406, TrainAccr= 0.758, ValidLoss = 2.033, ValidAccr= 0.295
7-TrainLoss = 1.127, TrainAccr= 0.833, ValidLoss = 2.003, ValidAccr= 0.306
8-TrainLoss = 0.865, TrainAccr= 0.897, ValidLoss = 2.010, ValidAccr= 0.310
9-TrainLoss = 0.652, TrainAccr= 0.935, ValidLoss = 2.030, ValidAccr= 0.330
10-TrainLoss = 0.490, TrainAccr= 0.963, ValidLoss = 2.057, ValidAccr= 0.355
11-TrainLoss = 0.358, TrainAccr= 0.978, ValidLoss = 2.084, ValidAccr= 0.377
12-TrainLoss = 0.267, TrainAccr= 0.986, ValidLoss = 2.128, ValidAccr= 0.374
