70 15 85 3
Validation Loss = 2.355, Validation Accuracy= 0.033
Training Loss = 2.532, Training Accuracy= 0.000
Validation Loss = 2.336, Validation Accuracy= 0.033
Training Loss = 2.478, Training Accuracy= 0.000
Validation Loss = 2.301, Validation Accuracy= 0.033
Training Loss = 2.459, Training Accuracy= 0.003
Validation Loss = 2.312, Validation Accuracy= 0.033
Training Loss = 2.412, Training Accuracy= 0.000
Validation Loss = 2.286, Validation Accuracy= 0.033
Training Loss = 2.379, Training Accuracy= 0.025
Validation Loss = 2.302, Validation Accuracy= 0.033
Training Loss = 2.326, Training Accuracy= 0.037
Validation Loss = 2.275, Validation Accuracy= 0.043
Training Loss = 2.258, Training Accuracy= 0.153
Validation Loss = 2.263, Validation Accuracy= 0.063
Training Loss = 2.157, Training Accuracy= 0.241
Validation Loss = 2.229, Validation Accuracy= 0.085
Training Loss = 2.210, Training Accuracy= 0.200
Validation Loss = 2.242, Validation Accuracy= 0.069
Training Loss = 1.977, Training Accuracy= 0.316
Validation Loss = 2.179, Validation Accuracy= 0.092
Training Loss = 1.820, Training Accuracy= 0.360
Validation Loss = 2.155, Validation Accuracy= 0.113
Training Loss = 1.639, Training Accuracy= 0.407
Validation Loss = 2.147, Validation Accuracy= 0.158
Training Loss = 1.488, Training Accuracy= 0.441
Validation Loss = 2.134, Validation Accuracy= 0.128
Training Loss = 1.366, Training Accuracy= 0.477
Validation Loss = 2.195, Validation Accuracy= 0.150
Training Loss = 1.272, Training Accuracy= 0.524
Validation Loss = 2.136, Validation Accuracy= 0.190
Training Loss = 1.196, Training Accuracy= 0.563
Validation Loss = 2.205, Validation Accuracy= 0.151
Training Loss = 1.099, Training Accuracy= 0.602
Validation Loss = 2.327, Validation Accuracy= 0.172
Training Loss = 1.012, Training Accuracy= 0.666
Validation Loss = 2.382, Validation Accuracy= 0.190
accr is 0.200 accr per post is 0.195
Training Loss = 2.793, Training Accuracy= 0.058
Validation Loss = 2.465, Validation Accuracy= 0.072
Training Loss = 2.634, Training Accuracy= 0.025
Validation Loss = 2.398, Validation Accuracy= 0.072
Training Loss = 2.528, Training Accuracy= 0.006
Validation Loss = 2.384, Validation Accuracy= 0.072
Training Loss = 2.485, Training Accuracy= 0.005
Validation Loss = 2.374, Validation Accuracy= 0.072
Training Loss = 2.453, Training Accuracy= 0.009
Validation Loss = 2.368, Validation Accuracy= 0.073
